            identifier             ,       coord                           ,  Mag V
HD 200253                          ,21 01 12.8647634688 +36 01 33.642578532,5.997
* tau Cyg                          ,21 14 47.49252 +38 02 43.1441          ,3.73
* 61 Cyg A                         ,21 06 53.9395895022 +38 44 57.902349973,5.21
* sig Cyg                          ,21 17 24.9524404 +39 23 40.852798      ,4.24
V* V1334 Cyg                       ,21 19 22.1791528656 +38 14 14.868825648,5.882
* 74 Cyg                           ,21 36 56.9752120080 +40 24 48.692268180,5.035
HD 206749                          ,21 43 06.4713509160 +41 09 17.902709244,5.505
* 77 Cyg                           ,21 42 22.9588733 +41 04 37.273655      ,5.726
HD 211211                          ,22 14 44.3613363960 +42 57 14.038829388,5.72
* 6 Lac                            ,22 30 29.2600453 +43 07 24.156435      ,4.511
HD 215664                          ,22 46 10.2221219664 +44 32 45.797281332,5.84
* 11 Lac                           ,22 40 30.8588068 +44 16 34.704241      ,4.46
HD 216608                          ,22 53 40.1609179248 +44 44 57.015416328,5.808
HD 216608A                         ,22 53 40.156 +44 44 56.98              ,5.94
* 4 And                            ,23 07 39.2672021448 +46 23 14.030186820,5.294
* psi And                          ,23 46 02.0470343064 +46 25 12.986458896,4.966
* lam And                          ,23 37 33.8427800830 +46 27 29.344721109,3.82
HD 224165                          ,23 55 33.4754737152 +47 21 20.893767696,5.989
* 22 And                           ,00 10 19.2465938 +46 04 20.180005      ,5.04
* pi. Cas                          ,00 43 28.0696827024 +47 01 28.364798856,4.949
* ksi And                          ,01 22 20.4200755704 +45 31 43.596248844,4.868
HD 8671                            ,01 26 18.6862929120 +43 27 27.869935680,5.978
* ome And                          ,01 27 39.3807155195 +45 24 24.065127426,4.83
* chi And                          ,01 39 20.9885732088 +44 23 10.229915472,5.008
HD 10204                           ,01 40 39.6574577184 +43 17 51.612331380,5.629
HD 10307                           ,01 41 47.1268541099 +42 36 48.221567818,4.96
* gam02 And                        ,02 03 54.7580291496 +42 19 51.281119488,5.82
* gam01 And                        ,02 03 53.95229 +42 19 47.0223          ,2.1
